t,x,z
5,-0.3810585756150583,8.724113888886679
10,-0.5864336026899888,12.700732187303835
15,-0.875169249805106,16.897486047043373
20,-1.2147422598361965,21.284961586121113
25,-1.591590081182994,25.824376518289004
30,-1.9773314262862154,30.517964971639003
35,-2.3326732094411025,35.35446806325497
40,-2.7161796572385306,40.242357044401366
45,-3.1781049534414114,45.26985243791161
50,-3.6234154363939908,50.223997505443265
55,-4.082671838297738,55.125114698995816
60,-4.529541229451,59.920196015580295
65,-5.00040053258925,64.64484305744513
70,-5.4816784611200156,69.06943649586943
75,-5.964848021859993,73.20913297701456
80,-6.434799462544176,76.93900981579108
85,-6.855850762992597,80.24001016173602
90,-7.167178983373454,83.10479759556057
95,-7.3045912759311875,85.66122852817401
100,-7.05080180211277,87.89839323721105
105,-6.348889155298674,89.79338661822308
110,-5.113783435547195,91.22235300079282
115,-3.532806556222712,92.19746408371593
120,-1.7829249811640042,92.7313897732854
125,0.16993208185971964,93.10990492736212
130,2.433061905717335,93.36047182311951
135,5.055518129480886,93.51470873828647
140,8.15426874604416,93.64485857419835
145,11.661253124368333,93.82077806701164
150,15.587157416121102,94.117512739862
155,19.663417161924677,94.48593545300906
160,23.747572988415698,94.82828069416595
165,27.763401430334934,95.11588012538307
170,31.735876206238682,95.19627647869385
175,35.61276821787332,95.07320769084627
180,39.3149112343907,94.78752335057916
185,42.724837105334615,94.45142639440151
190,45.73659274568821,94.24583755900356
195,48.32864371293069,94.35215060698602
200,50.751571488278366,94.92864090927038
205,52.77430596825155,96.19474978740942
210,54.239826792901866,98.03572497237025
215,54.99414809307754,100.2497739835318
220,55.4746191820093,102.64213885304082
225,55.91044854453988,105.26272700804074
230,56.49495659262417,108.20028664944502
235,57.21276701603547,111.39620985234738
240,57.94537182584147,114.89152715378408
245,58.66952122630666,118.61744398693361
250,59.40192241454909,122.63190894996987
255,60.11871682857066,126.81166931947998
260,60.98139118469238,131.07435856929368
265,61.81934942827142,135.22201780349195
270,62.66331215009046,139.35900522984386
275,63.463618876886855,143.47370209248604
280,64.14705223963415,147.51818048947771
285,64.78155662876843,151.471690679254
290,65.30740291494409,155.52125950025444
